Climate Emergency Declaration (CED) data sheet,,,,<-Click link in Cell A1 to view as full-screen directly in Google Drive,,,,,,,,,,,,,,,,,,,
Number of CED places:,,2366,,Total population:,"1,065,477,438",<-includes EU declaration | global % ->,,13.44%,,,,,,,,,,,,,,,
Nations with at least one CED place:,,40,,Total population:,"852,146,370",<-excluding EU declaration,,10.65%,,,,,,,,,,,,,,,
Number of national CEDs:,,18 (& EU),,Total population:,"377,163,097",<-excluding national and EU declarations,,4.71%,,,,,,,,,,,,,,,
Number of subnational state/region CEDs:,,41,,,,,,,,,,,,,,,,,,,,,
"To ask for additions or corrections to this data sheet, email info@cedamia.org",,,,,(See note re targets on the Notes tab),,,,,,,,,,,,,,,,,,
Jurisdictions (by country),,Region,Population,Date,Carbon neutral / net zero target dates,,Declaration type,Minutes / motion text,Media article,CE Action Plan,Council news,Agenda item,Council majority / strongest group,Council composition,C40,ICLEI,Covenant of Mayors,Under2,Carbon Neutral Cities Alliance,Climate Alliance,Cities Power Partnership,Race to Zero,Fossil Fuel Non-proliferation Treaty
Winchester City Council,,England,"124,295",5 Jun 2019,2024,2030,Declared 'CE',https://democracy.winchester.gov.uk/documents/g2058/Decisions%2005th-Jun-2019%2009.30%20Cabinet.pdf?T=2,https://www.hampshirechronicle.co.uk/news/17686447.winchester-city-council-declares-a-climate-emergency/,https://data.climateemergency.uk/media/data/plans/winchester-city-council-4e3615f.pdf,,,Lib Dem,,,,,,,,,,
Windsor and Maidenhead Borough Council,,England,"150,906",26 Jun 2019,,2050,Climate & Environment,https://www.cedamia.org/ced-uk-to-july-2019/,https://climateemergency.uk/blog/royal-borough-of-windsor-maidenhead/,https://00aeefac-a9f3-4f0f-98ee-78d8b2cf247b.filesusr.com/ugd/0d0ea5_75f45bd871fd4bd9b81208a8c0bc0876.pdf,,,Conservative,,,,,,,,,Yes,
Wirksworth Town Council,,England,"5,038",18 Feb 2019,,,Declared CE,http://www.wirksworthtowncouncil.gov.uk/minutes/files/TC-18-02-2019.pdf,,,,http://www.wirksworthtowncouncil.gov.uk/agendas/files/TC-18-02-2019.pdf,,,,,,,,,,,
Wirral Council,,England,"323,235",15 Jul 2019,2030,2040,Climate & Environment,https://democracy.wirral.gov.uk/documents/g7412/Printed%20minutes%2010th-Dec-2018%2018.00%20Council.pdf?T=1,https://www.climateemergency.uk/blog/wirral-2/,https://data.climateemergency.uk/media/data/plans/wirral-council-4292dc5.pdf,,,NOC,,,,,,,,,,
Witchford Parish Council,,England,"2,385",2 Oct 2019,2030,2030,Declared CE,https://drive.google.com/file/d/1FXWxSQzVYtYY27vSVAJMX5OcUHpXzJQm/view,,https://drive.google.com/file/d/1LqGo8AZZ3Fk4tXmboiWJA9FyTuAWEx5Y/view,https://witchfordpc.org/climate-change/,,,,,,,,,,,,
Witney Town Council,,England,"27,522",26 Jun 2019,,2028,Declared CE,https://democracy.witney-tc.gov.uk/documents/g1213/Printed%20minutes%2026th-Jun-2019%2019.00%20Full%20Council.pdf?T=1,,,http://www.witney-tc.gov.uk/climate-emergency/,,,,,,,,,,,,
Woking Borough Council,,England,"101,167",25 Jul 2019,2030,2050,Declared CE,https://moderngov.woking.gov.uk/documents/g688/Printed%20minutes%2025th-Jul-2019%2019.00%20Council.pdf?T=1,,https://www.woking.gov.uk/nature-and-sustainability/climate-change/climate-emergency-action-plan,https://www.woking.gov.uk/nature-and-sustainability/climate-change/how-were-tackling-climate-change,https://moderngov.woking.gov.uk/documents/b2462/Item%2016%20-%20Notices%20of%20Motion%2025th-Jul-2019%2019.00%20Council.pdf?T=9,NOC,,,,,,,,,,
Wokingham Borough Council,,England,"167,979",18 Jul 2019,,2030,Declared CE,https://wokingham.moderngov.co.uk/documents/g3269/Printed%20minutes%2018th-Jul-2019%2019.30%20Council.pdf?T=1,,https://www.finchampstead-pc.gov.uk/wp-content/uploads/2020/01/Council-backs-climate-emergency-action-plan-FINAL.pdf,https://news.wokingham.gov.uk/news/wokingham-borough-council-declares-climate-emergency/,https://wokingham.moderngov.co.uk/documents/g3269/Public%20reports%20pack%2018th-Jul-2019%2019.30%20Council.pdf?T=10,Conservative,"Conservative (31), Liberal Democrats (16), Labour (4), Independent (3)",,,,,,,,,
Wolverhampton City Council,,England,"262,008",17 Jul 2019,2028,2028,Declared 'CE',https://wolverhampton.moderngov.co.uk/documents/g13249/Printed%20minutes%2017th-Jul-2019%2018.00%20Council.pdf?T=1,https://www.expressandstar.com/news/local-hubs/wolverhampton/2019/07/20/wolverhampton-council-declares-climate-emergency/,https://data.climateemergency.uk/media/data/plans/wolverhampton-city-council-8eeb215.pdf,,https://wolverhampton.moderngov.co.uk/documents/s115271/Motions%20on%20Notice%20170719.pdf,Labour,"Labour 49, Conservative 11",,,,,,,,,
Woodbridge Town Council,,England,"7,749",9 Jul 2019,,,Declared CE,https://www.woodbridge-suffolk.gov.uk/assets/Town-Council/Agendas--Minutes/Minutes/Town-Council/2019-2020/09.07.19/Agenda-and-Supporting-Documents/Agenda-Item-21-Proposal-to-declare-a-Climate-Emergency-in-Woodbridge.pdf,https://enjoywoodbridgemore.co.uk/news/woodbridge-town-council-declare-climate-change-emergency-1-6159899,,,,,,,,,,,,,,
Woodley Town Council,,England,"35,470",1 Oct 2019,2030,,Declared 'CE',http://www.woodley.gov.uk/woodley-town-councils-commitment-to-climate-change,,,,,,,,,,,,,,,
Worcester City Council,,England,"101,328",16 Jul 2019,2030,2030,Declared 'CE',http://committee.worcester.gov.uk/documents/g4430/Printed%20minutes%2016th-Jul-2019%2019.00%20Council.pdf?T=1,https://www.climateemergency.uk/blog/worcester/,https://data.climateemergency.uk/media/data/plans/worcester-city-council-dd6a898.pdf,,,NOC,,,,,,,,,,
Worcestershire County Council,,England,"595,786",15 Jul 2021,2030,2050,Declared CE,,https://www.eveshamobserver.co.uk/news/climate-vows-spark-anger/,https://data.climateemergency.uk/media/data/plans/worcestershire-county-council-f006081.pdf,,https://worcestershire.moderngov.co.uk/documents/s34716/2021%2007%2015%20Notices%20of%20Motion.pdf,Conservative,"Conservative (45), Labour (3), Liberal Democrats (4), Green Party (3), Independent (2)",,,,,,,,,
Worthing Borough Council,,England,"110,570",18 Jul 2019,2030,,Declared 'CE',https://democracy.adur-worthing.gov.uk/ieListDocuments.aspx?CId=159&MId=255&Ver=4,https://www.climateemergency.uk/blog/adur/,https://data.climateemergency.uk/media/data/plans/worthing-borough-council-e6da934.pdf,,,Conservative,"Conservative 23, Labour 10, Lib Dems 3, UKIP 1",,,,,,,,,
Wrexham County Borough Council,,Wales,"136,126",25 Sep 2019,2030,,Climate & Ecological,https://moderngov.wrexham.gov.uk/documents/g4753/Printed%20minutes%2025th-Sep-2019%2016.00%20Council.pdf?T=1,https://www.leaderlive.co.uk/news/17930315.wrexham-council-declares-climate-emergency-commits-becoming-carbon-neutral-2030/,,,http://moderngov.wrexham.gov.uk/documents/g4753/Public%20reports%20pack%2025th-Sep-2019%2016.00%20Council.pdf?T=10,NOC,,,,,,,,,,
Wyre Council,,England,"101,062",11 Jul 2019,2030,2030,Declared 'CE',https://wyre.moderngov.co.uk/documents/g798/Printed%20minutes%2011th-Jul-2019%2019.00%20Council.pdf?T=1,https://www.blackpoolgazette.co.uk/news/politics/wyre-declares-climate-emergency-timescale-divides-parties-954423,https://www.wyre.gov.uk/downloads/file/6331/climate_change_action_plan_jan_2021_-_wider_borough,,https://wyre.moderngov.co.uk/mgAi.aspx?ID=3743,Conservative,,,,,,,,,,
Wyre Forest District Council,,England,"100,700",22 May 2019,,,Declared CE,http://www.wyreforest.gov.uk/council/docs/doc54791_20190522_council_minute.pdf,https://climateemergency.uk/blog/wyre-forest/,https://www.wyreforestdc.gov.uk/community-and-environment/sustainability/sustainability-documents-and-policies/our-climate-change-action-plan/,,,NOC,,,,,,,,,,
Yatton Parish Council,,England,"7,552",9 Sep 2019,,,Declared 'CE',https://www.yatton-pc.gov.uk/_UserFiles/Files/_Minutes/77552-9_September_2019_Minutes_Full_Counci.pdf,https://www.thewestonmercury.co.uk/news/climate-emergency-declared-in-yatton-1-6263800,,,,,,,,,,,,,,
York City Council,,England,"209,893",21 Mar 2019,,2030,Declared 'CE',https://democracy.york.gov.uk/documents/g10458/Printed%20minutes%2021st-Mar-2019%2018.30%20Council.pdf?T=1,https://www.yorkmix.com/life/york-declares-climate-emergency-after-impassioned-pleas-by-young-activists/,,,,NOC,"Liberal Democrats (21), Labour (17), Green (4), Conservative (2), Independent (3)",,,Yes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,No. of CEDs,,% of population:,,,,,,,,,,,,,,,,,,,
UK and dependencies totals:,,603,"63,621,899",95.76%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
USA,,206,<-CED total for USA,,,2050,,"If Minutes cell below is empty, please send us a minutes link if you have one!",,,,,,,,,,,,,,,
Acton Town Meeting,,Massachusetts,"21,929",8 Sep 2020,,2030,CE & mobilisation,https://www.acton-ma.gov/ArchiveCenter/ViewFile/Item/13471,https://www.actonclimatecoalition.org/,https://www.acton-ma.gov/DocumentCenter/View/8096/Climate-Action-Plan-Final,,,,,,,,,,,,Yes,
Alameda City Council,,California,"78,338",19 Mar 2019,,"50% by 2030, neutral asap",CE & mobilisation,https://alameda.legistar.com/View.ashx?M=M&ID=656273&GUID=94FF84D0-92FE-4E01-87B0-8F8C6ABDBBE7,,https://www.alamedaca.gov/GOVERNMENT/Initiatives/Climate-Action-and-Resiliency-Plan,,http://legistar1.granicus.com/alameda/meetings/2019/3/4756_A_City_Council_19-03-19_Meeting_Agenda.pdf,Non-partisan,[no data in Wikipedia],,Yes,Yes,,,,,,
Alameda County Government,,California,"1,671,329",1 Oct 2019,,,CE & mobilisation,http://www.acgov.org/sustain/documents/AlamedaCountyClimateEmergencyDeclaration.pdf,,,http://www.acgov.org/sustain/how/policies.htm,,Non-partisan,[no data in Wikipedia],,,,,,,,,
Albany City Council,,California,"20,271",6 May 2024,,,Declared CE,https://www.albanyca.org/home/showpublisheddocument/55686,,,,,Non-partisan,,,,,,,,,,
Albuquerque City Council,,New Mexico,"560,218",18 Sep 2019,,,CE & mobilisation,https://cabq.legistar.com/LegislationDetail.aspx?ID=4124829&GUID=7E5F8D90-75AB-4CB4-8CDA-8E4E2552AB0D&FullText=1,https://www.krwg.org/post/albuquerque-city-council-declares-climate-emergency,https://www.cabq.gov/sustainability/documents/2021-climate-action-plan.pdf,,,,"Democrat 5, Republican 3 (1 vacant)",,,,,,,,Yes,
Alexandria City Council,,Virginia,"159,428",22 Oct 2019,,"50% by 2030, 80-100% by 2050",CE & mobilisation,http://legistar.granicus.com/alexandria/meetings/2019/10/2063_M_City_Council_Legislative_Meeting_19-10-22_Action_Docket.pdf,https://www.alxnow.com/2019/10/23/morning-notes-17/,https://media.alexandriava.gov/docs-archives/tes/eap2040v25.pdf,,https://alexandria.legistar.com/LegislationDetail.aspx?ID=4196922&GUID=F2D97D70-C307-41AC-B2C8-9E3B313A30B4,Democrat,Democrat 7,,,,,,,,Yes,
American Canyon City Council,,California,"21,837",1 Feb 2022,,2030,Declared CE,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/1212476/1._Resolution_Climate_Emergency.pdf,,,,,Non-partisan,,,Yes,,,,,,,
Amherst Town Council,,Massachusetts,"37,819",28 Jan 2019,,2050 (25% by 2025),Declared CE,https://www.amherstma.gov/DocumentCenter/View/47508/Council-Order-01282019-6b2?bidId=,https://www.saltwire.com/opinion/editorial-more-education-needed-about-climate-change-339431/?location=amherstcumberland-county,https://www.amherstma.gov/DocumentCenter/View/58981/Climate-Action-Adaptation-and-Resilience-Plan-Final-from-June-2021,,,,[no data in Wikipedia],,,,,,,,,
Ann Arbor City Council,,Michigan,"121,890",4 Nov 2019,,2030,Declared CE,https://www.cedamia.org/ced-regions-in-usa/,https://www.mlive.com/news/ann-arbor/2019/11/ann-arbor-declares-climate-emergency-sets-2030-carbon-neutral-goal.html,https://www.a2gov.org/departments/city-administrator/Documents/A2Zero%20Carbon%20Neutrality%20Strategy.pdf,,,Democrat,,,,Yes,,,,,Yes,
Arcata City Council,,California,"18,257",18 Sep 2019,,2025,CE & mobilisation,https://arcataca.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2363&Inline=True,https://kymkemp.com/2019/09/25/arcata-endorses-declaration-of-climate-emergency/,,,http://arcataca.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2801&Inline=True,Non-partisan,[no data in Wikipedia],,,,,,,,,
Arlington Town Meeting,,Massachusetts,"42,844",2 Jun 2021,,2050,CE & mobilisation,https://arlington.novusagenda.com/Agendapublic/CoverSheet.aspx?ItemID=11531&MeetingID=1317,,https://www.arlingtonma.gov/home/showpublisheddocument/55139/637885684739670000,,,,,,,,,,,,,
Asheville City Council,,North Carolina,"92,452",28 Jan 2020,,2030 at latest,Climate & Ecological,https://drive.google.com/file/d/1Tui2mR9W115KTzPMJ2XYxU8to6QtaBWF/view,https://www.wfmynews2.com/article/news/local/climate-emergency/83-9105421f-fa7e-49d7-befc-a995ee912376,https://www.ashevillenc.gov/projects/municipal-climate-action-plan/,,https://drive.google.com/file/d/10JT4UqQJQUJv_VbJuJT2IXZZ842dyVCg/view,,[no data in Wikipedia],,,,,,,,,
Athens City Council,,Ohio,"24,688",3 Feb 2020,,,CE & mobilisation,https://www.ci.athens.oh.us/AgendaCenter/ViewFile/Minutes/_02032020-961,https://www.thepostathens.com/article/2020/02/athens-city-council-climate-emergency,,,https://www.ci.athens.oh.us/AgendaCenter/ViewFile/Agenda/_02032020-961,,[no data in Wikipedia],,,,,,,,,
Austin City Council,,Texas,"964,254",8 Aug 2019,,2040,CE & mobilisation,https://www.austintexas.gov/edims/document.cfm?id=325549,https://texasscorecard.com/local/austin-city-council-declares-climate-emergency/,https://www.austintexas.gov/page/austin-climate-equity-plan,,,Democrat,Democrat 11 (all) - officially non-partisan,Yes,,Yes,Yes,,,,Yes,
Bainbridge Island City Council,,Washington,"25,298",9 Jun 2020,,,Declared CE,https://www.bainbridgewa.gov/documentcenter/view/14894,https://www.bainbridgereview.com/opinion/is-bi-greenwashing-climate-change/,,,,,,,Yes,,,,,,,
Bangor City Council,,Maine,"32,262",22 Feb 2021,,2045,Declared CE,https://records.bangormaine.gov/public/DocView.aspx?id=222982&searchid=4f69d8d4-0712-45d5-af80-440a452ed63c&dbid=0&repo=CityOfBangorRecords,https://www.newscentermaine.com/article/news/local/as-seen-on-tv/climate-emergency-resolve-passed-unamiously-by-bangor-maine-city-council/97-9357ec03-eeea-445e-95ec-489d6c91aead,,,,,,,,,,,,,,
Bar Harbor Town Council,,Maine,"5,264",19 Nov 2019,,2030,Climate & Ecological,http://www.barharbormaine.gov/AgendaCenter/ViewFile/Agenda/_12032019-2427,https://www.wabi.tv/content/news/Students-urge-local-town-council-to-declare-climate-emergency-565198792.html,https://docs.google.com/document/d/1NgKRTZdbSl-4clveC-FASQGUD35nlDVTObNL7z8dSLA/edit,,https://www.barharbormaine.gov/AgendaCenter/ViewFile/Agenda/_11192019-2421,,[no data in Wikipedia],,,,,,,,,
Barnstable Town Council,,Massachusetts,"44,477",19 Nov 2020,,,Declared CE,https://boonenc.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1910&Inline=True,https://www.barnstablepatriot.com/story/news/local/2020/11/24/barnstable-town-council-adopts-climate-change-resolution/6408634002/,,,https://town.barnstable.ma.us/BoardsCommittees/TownCouncil/Agendas/2020/11-19-20__Agenda__20203.pdf,,,,,,,,,,,
Basalt Town Council,,Colorado,"4,166",27 Aug 2019,,asap,CE & mobilisation,https://www.basalt.net/AgendaCenter/ViewFile/Minutes/_08272019-688,https://www.aspendailynews.com/news/basalt-sounds-the-alarm-on-climate-change/article_f23c1114-ca05-11e9-8880-ff38723cfd0e.html,,,https://www.basalt.net/AgendaCenter/ViewFile/Agenda/_08272019-688,,[no data in Wikipedia],,,,,,,,,
Benicia City Council,,California,"28,306",19 May 2020,,asap,Declared CE,http://beniciaindependent.com/wp-content/uploads/2020/05/Final-Reso-20-48.pdf,http://beniciaindependent.com/benicia-city-council-unanimously-adopts-climate-emergency-resolution/,,,https://legistarweb-production.s3.amazonaws.com/uploads/attachment/pdf/592732/1._Resolution_-_Climate_Emergency.pdf,Non-partisan,[no data in Wikipedia],,,,,,,,,
Berkeley City Council,,California,"121,643",12 Jun 2018,,asap,CE & mobilisation,https://www.cedamia.org/wp-content/uploads/2018/12/Berkeley-Climate-Emergency-Declaration-Adopted-12-June-2018-BCC.pdf,https://www.theclimatemobilization.org/blog/2018/6/13/berkeley-unanimously-declares-climate-emergency,,,,Non-partisan,[no data in Wikipedia],,Yes,Yes,,,,,Yes,
Bethlehem Town Board,,New York,"34,924",22 Jun 2022,,,Climate & Ecological,http://bethlehemtownny.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1989&Inline=True,,,,,,,,,,,,,,,
Birmingham City Commission,,Michigan,"21,813",23 Jan 2023,,,Declared CE,from 1.53.03 mark: https://vimeo.com/showcase/6708293/video/791498334,https://www.candgnews.com/news/birmingham-declares-climate-emergency-1645,,,,,,,,,,,,,,
Bloomington City Council,,Minnesota,"89,987",24 Jan 2022,,,CE & mobilisation,https://www.bloomingtonmn.gov/cob/city-meetings-agendas-webcasts-and-documents,https://www.hometownsource.com/sun_current/community/bloomington/bloomington-declares-a-climate-emergency/article_4981bc34-85e4-11ec-be35-779de4b58835.html,,https://www.bloomingtonmn.gov/cob/news/bloomington-declares-climate-emergency-2022-01-25,,,,,,Yes,,,,,,
Boone Town Council,,North Carolina,"19,667",21 Jan 2021,2030,2050,CE & mobilisation,https://boonenc.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1937&Inline=True,https://www.wataugademocrat.com/opinion/letters_to_editor/your-view-the-end-is-near-but-avoidable/article_ab694d27-3ca0-5c2a-8f21-f8af56e3d412.html,,,http://boonenc.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1574&Inline=True,,,,,,,,,,Yes,
Boston City Council,,Massachusetts,"694,583",15 Jan 2020,,2050,Climate & health,https://meetingrecords.cityofboston.gov/sirepub/cache/2/urepn1yptdk4hvtco4j0hctk/29805304242021122349696.PDF,,https://www.boston.gov/environment-and-energy/reducing-emissions,https://www.boston.gov/news/city-council-affirms-climate-crisis-public-health-emergency,,Non-partisan,13 officially non-partisan,Yes,,Yes,,,,,Yes,
Boulder City Council,,Colorado,"107,353",23 Jul 2019,,no later than 2030,Declared CE,https://www.cedamia.org/wp-content/uploads/2019/07/Boulder-City-July-23-Climate-Emergency-memo.pdf,https://www.dailycamera.com/2019/07/23/boulder-city-council-votes-unanimously-for-declaration-of-climate-emergency/,https://bouldercolorado.gov/climate/cmap,https://bouldercolorado.gov/newsroom/city-council-declares-climate-emergency?__cf_chl_captcha_tk__=b5bb4494ab858346e0b9ccce6c9873f2d97e0336-1581320338-0-AYAnvr42vQpIDBEvKsHBc4F64WE__BDaUOvepxXkL2g5GZ1f24_exkUKLC8fkw-NDCV0DGbwgY0n39vyrDyaAxJKVWRyw0YiPufFYTsbPHMZqt6OPx3xrso8HDjaO5xUoudNKlLcfzVMwSkhHge76nRT06rlN1zGKpRugKDqnaPzoZKE-TOHffnQHFIv9kkBPtKYylZvrlejVmo-8PFmp-ZDmBRb-DdnSDH5mC_O_QloHAthDM6DgGJjy31pU_xSspIOMJNxk_R27qmesATVGoF6f5RWyAqrQRkMF-CV1U01BCdSfT1j-wCKcD-YgKh8M7VGlPMRNBt8uhWVB-GSITuSI0RWcJy4slTOfkL36y9f1maVilp-v2jPQmUOlRlXHKwjK1K6r1LpkS0twe9HUDOg3NSek9KRad-y8dkmqZsJ4iG97zhd5Ze0OurOTXLXnw,,,[no data in Wikipedia],,Yes,Yes,,Yes,,,Yes,
Boulder County Council,,Colorado,"326,196",23 Jul 2019,,"2030 (45%), 2050 (90%)",CE & mobilisation,https://www.cedamia.org/wp-content/uploads/2019/07/Boulder-County-Declaration-of-a-Climate-Emergency.pdf,,,,,,[no data in Wikipedia],,,,,,,,,
Bourne Town Council,,Massachusetts,"19,754",1 Sep 2020,,,Declared CE,https://www.townofbourne.com/sites/g/files/vyhlif316/f/minutes/09.01.20_web.tc_.pdf,https://www.capenews.net/sandwich/columns/vote-to-address-climate-change/article_d790c08e-7c5a-5d60-ab51-860b797fc757.html,,,,,,,,,,,,,,
Brewster Town Meeting,,Massachusetts,"9,820",12 Sep 2020,,,Declared CE,http://records.brewster-ma.gov/WebLink/0/doc/136633/Page1.aspx,https://www.capenews.net/sandwich/columns/vote-to-address-climate-change/article_d790c08e-7c5a-5d60-ab51-860b797fc757.html,,,,,,,,,,,,,,
Brunswick Town Council,,Maine,"20,329",2 Dec 2019,,,CE & mobilisation,https://www.brunswickme.org/AgendaCenter/ViewFile/Minutes/_12022019-1870,ttps://bowdoinorient.com/2019/12/06/town-council-declares-climate-emergency-ahead-of-climate-rally/,,,https://www.brunswickme.org/AgendaCenter/ViewFile/Agenda/_12022019-1870,,[no data in Wikipedia],,,,,,,,,
Buffalo Common Meeting,,New York,"255,284",27 Oct 2020,,,Declared CE,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?ID=13061&highlightTerms=climate%20crisis,,,,,,,,,,,,,,,
Burlington City Council,,Vermont,"42,899",23 Sep 2019,,2030 at latest,CE & mobilisation,https://www.cedamia.org/wp-content/uploads/2019/10/Burlington-Vermont-Climate-Emergencyrevisedversion.docx,https://vtdigger.org/2019/09/24/burlington-city-council-declares-climate-emergency/,,,,Democrat,,,,Yes,,,,,,
Calistoga City Council,,California,"5,247",3 Aug 2021,2030,,Declared CE,,https://napavalleyregister.com/community/calistogan/news/calistoga-commits-to-zero-emissions-by-2030/article_56bb5d43-48d0-5413-b5f3-51fe2e658775.html,,,https://calistoga.civicweb.net/Portal/MeetingInformation.aspx?Org=Cal&Id=217,Non-partisan,,,,,,,,,,
Carlsbad City Council,,California,"115,382",21 Sep 2021,,,Declared CE,,,,,https://www.carlsbadca.gov/city-hall/meetings-agendas/-folder-438#docan938_2676_1229,Non-partisan,,,,,,,,,,
Chapel Hill Town Council,,North Carolina,"64,051",7 Apr 2021,,2050,Declared CE,https://chapelhill.legistar.com/LegislationDetail.aspx?ID=4900326&GUID=508A188F-EC3C-446D-816D-57DF17365BE1&FullText=1,https://www.dailytarheel.com/article/2021/04/city-sunrise-town-climate-emergency,https://www.townofchapelhill.org/Home/ShowDocument?id=48581,,,,,,,,,,,,,
Chicago City Council,,Illinois,"2,705,994",19 Feb 2020,,62% by 2040,CE & mobilisation,https://chicago.legistar.com/LegislationDetail.aspx?ID=4305228&GUID=E6B4FD95-D3FF-4D2B-8C54-58779259DB18&Options=Advanced&Search=,https://news.wttw.com/2020/02/19/it-s-official-chicago-has-declared-climate-emergency-now-what,,,,Democrat,"Democrats = 46, Independents = 4",Yes,,Yes,,,,,Yes,
Chico City Council,,California,"94,776",2 Apr 2019,,2030 at latest,Declared CE,https://drive.google.com/file/d/0B4J1oo34PoMQcW9sT1pRdldtckFBcEdjV25JUXl2T3RxUjNB/view?fbclid=IwAR3jWedP-BIKBzHAAgNIhMKtZSQqz0l0US8Ii06oYuL2JJmFpvsLzdq53og,https://theorion.com/78705/news/sustainability-task-force-unites-with-people-of-chico-against-climate-change/,,,https://drive.google.com/file/d/0B4J1oo34PoMQcW9sT1pRdldtckFBcEdjV25JUXl2T3RxUjNB/view?fbclid=IwAR3jWedP-BIKBzHAAgNIhMKtZSQqz0l0US8Ii06oYuL2JJmFpvsLzdq53og,Non-partisan,[no data in Wikipedia],,,,,,,,,
Cloverdale City Council,,California,"8,878",11 Sep 2019,,asap,CE & mobilisation,,,,,http://www.cloverdale.net/AgendaCenter/ViewFile/Agenda/_09112019-847,Non-partisan,[no data in Wikipedia],,,,,,,,,
Chesterton Town Council,,Indiana,"13,833",12 Nov 2019,,,Declared CE,https://www.chestertonin.org/DocumentCenter/View/2170/Town-Council-Meeting-Minutes-111219,http://www.chestertontribune.com/Town%20of%20Chesterton/chesterton_town_council_passes_s.htm,,,,,[no data in Wikipedia],,,,,,,,,
Chula Vista City Council,,California,"275,487",1 Mar 2022,,,Declared CE,,https://www.sandiegouniontribune.com/communities/south-county/story/2022-03-06/chula-vista-declares-climate-emergency,,,https://pub-chulavista.escribemeetings.com/Meeting.aspx?Id=84d13111-41a1-4d2d-aafe-e5e09e468e50&Agenda=PostAgenda&lang=English&Item=44&Tab=attachments,Non-partisan,,,Yes,Yes,,,,,Yes,
